,type,model,fold,auroc,auprc,minrp,precision,recall,balanced_acc,mcc,f1,f2
25,Physionet Multiperturbed,tcn,3,0.718292276964048,0.0922808637587668,0.1923076923076923,0.0431654676258992,0.375,0.598951398135819,0.0734251205894111,0.0774193548387096,0.1477832512315271
26,Physionet Original,tcn,3,0.8616523272133916,0.5129609027426575,0.4926686217008797,0.3659217877094972,0.7683284457478006,0.7737556625626163,0.4178702795607935,0.4957426679280984,0.6298076923076923
27,MIMIC IV Neutropenic Fever,tcn,4,0.7522785309444224,0.1995304194982967,0.25,0.1234567901234567,0.4081632653061224,0.631853758797517,0.1541630081024847,0.1895734597156398,0.2793296089385474
28,Physionet Multiperturbed,tcn,4,0.6962627669452183,0.135320272998686,0.1333333333333333,0.1176470588235294,0.1666666666666666,0.5624419684308264,0.1056618807303581,0.1379310344827586,0.1538461538461538
29,Physionet Original,tcn,4,0.8581834727341191,0.5231273824642465,0.530791788856305,0.3696551724137931,0.7859237536656891,0.7818237445371248,0.4286562708845925,0.5028142589118199,0.6414552417424605
30,MIMIC IV Neutropenic Fever,sand,0,0.8096368020207433,0.2206190266314633,0.2962962962962963,0.1851851851851851,0.4716981132075472,0.6800681235408932,0.2356633936094147,0.2659574468085106,0.3602305475504322
31,Physionet Multiperturbed,sand,0,0.7907395817443333,0.4166134191580742,0.436950146627566,0.4590747330960854,0.3782991202346041,0.6522025499082598,0.330546581790032,0.4147909967845659,0.39209726443769
32,Physionet Original,sand,0,0.8561795285962959,0.51970186874924,0.5073313782991202,0.5529411764705883,0.4134897360703812,0.679034610378409,0.4056767803111469,0.4731543624161073,0.4354539839407041
33,MIMIC IV Neutropenic Fever,sand,1,0.8000344026834093,0.1063516310813385,0.1442307692307692,0.1222222222222222,0.25,0.5876300851466414,0.1252997569940364,0.1641791044776119,0.206766917293233
34,Physionet Multiperturbed,sand,1,0.7616709732988803,0.1573585120847392,0.217391304347826,0.217391304347826,0.1111111111111111,0.5468346253229974,0.129645942103951,0.1470588235294117,0.1231527093596059
35,Physionet Original,sand,1,0.8678450747491295,0.5554117760104011,0.543859649122807,0.4942263279445728,0.6257309941520468,0.7596067422122101,0.4720036375644357,0.552258064516129,0.5941143808995003
36,MIMIC IV Neutropenic Fever,sand,2,0.8008599230595157,0.2356078862460069,0.2608695652173913,0.1731843575418994,0.5740740740740741,0.7116806215584219,0.248912550626096,0.2660944206008583,0.3924050632911392
37,Physionet Multiperturbed,sand,2,0.7428861788617886,0.0469491809054934,0.0695652173913043,0.0416666666666666,0.1111111111111111,0.5275067750677507,0.0343224820181888,0.0606060606060606,0.0833333333333333
38,Physionet Original,sand,2,0.8524316221812638,0.5159678371224922,0.5212464589235127,0.6119402985074627,0.3596491228070175,0.6608556898081781,0.4059550741176427,0.4530386740331492,0.3919694072657744
39,MIMIC IV Neutropenic Fever,sand,3,0.7931999440324612,0.1847404022924775,0.2142857142857142,0.1761006289308176,0.5,0.6858472086190011,0.2326339098756831,0.2604651162790697,0.3655352480417754
40,Physionet Multiperturbed,sand,3,0.7435918774966711,0.168558791016929,0.25,0.075,0.375,0.6382323568575232,0.1292695706187023,0.125,0.2083333333333333
41,Physionet Original,sand,3,0.8579495532708787,0.5096562917079961,0.5131964809384164,0.5503597122302158,0.4486803519061583,0.6939413432682543,0.4231567406010275,0.4943457189014539,0.4658952496954933
42,MIMIC IV Neutropenic Fever,sand,4,0.7733925716777047,0.230818711506209,0.3,0.1343283582089552,0.5510204081632653,0.6870056262586417,0.2008449548665983,0.216,0.3400503778337531
43,Physionet Multiperturbed,sand,4,0.8087859795728877,0.1090315531532261,0.2121212121212121,0.144927536231884,0.4166666666666667,0.667246982358403,0.2037624020615907,0.2150537634408602,0.303030303030303
44,Physionet Original,sand,4,0.8513627235071943,0.5084077269296715,0.5043988269794721,0.5175718849840255,0.4750733137829912,0.7008148670082271,0.416383562103384,0.4954128440366973,0.4830053667262969
45,MIMIC IV Neutropenic Fever,grud,0,0.8253281794175055,0.2298144482603333,0.3396226415094339,0.203125,0.490566037735849,0.69355888093689,0.2591524489378781,0.287292817679558,0.3823529411764706
46,Physionet Multiperturbed,grud,0,0.7800885895668463,0.3650033668246537,0.3988269794721407,0.5054945054945055,0.1348973607038123,0.5565104207505449,0.2065895637005342,0.2129629629629629,0.1580756013745704
47,Physionet Original,grud,0,0.8661419343433551,0.5393288173047724,0.5350877192982456,0.5625,0.4750733137829912,0.7069095300076842,0.4445978453944406,0.5151033386327504,0.4903147699757869
48,MIMIC IV Neutropenic Fever,grud,1,0.7781026920099767,0.1179746340931491,0.1847826086956521,0.1463414634146341,0.4090909090909091,0.6548765803732691,0.1926005821285157,0.2155688622754491,0.3010033444816054
49,Physionet Multiperturbed,grud,1,0.7993970714900948,0.1835792140251949,0.2745098039215686,0.2666666666666666,0.2666666666666666,0.6173449612403101,0.2346899224806201,0.2666666666666666,0.2666666666666666
50,Physionet Original,grud,1,0.8693582610872187,0.5580413495701494,0.5380116959064327,0.5506756756756757,0.4766081871345029,0.7059597355905978,0.4378997710125134,0.5109717868338558,0.4897836538461537
51,MIMIC IV Neutropenic Fever,grud,2,0.8124009957003847,0.2672057044052868,0.2592592592592592,0.1897810218978102,0.4814814814814814,0.6842234291317795,0.2417616171528812,0.2722513089005235,0.3682719546742209
52,Physionet Multiperturbed,grud,2,0.7826558265582656,0.0697128790806843,0.1379310344827586,0.1142857142857142,0.2222222222222222,0.5922086720867208,0.1336451329316207,0.1509433962264151,0.1869158878504672
53,Physionet Original,grud,2,0.8497913680114684,0.4990612192709577,0.5058479532163743,0.5517241379310345,0.4210526315789473,0.6820730083964776,0.4088628553149437,0.4776119402985074,0.4419889502762431
54,MIMIC IV Neutropenic Fever,grud,3,0.8036413879949629,0.2580960349115269,0.3035714285714285,0.2,0.5,0.6951518119490696,0.2576769996046492,0.2857142857142857,0.3846153846153846
55,Physionet Multiperturbed,grud,3,0.7114680426098534,0.0649140866270283,0.1875,0.125,0.1875,0.5797686418109187,0.1309610430259183,0.15,0.1704545454545454
56,Physionet Original,grud,3,0.8624068601161611,0.5304588785988424,0.502906976744186,0.5221518987341772,0.4838709677419355,0.7052136939876993,0.423784918314487,0.502283105022831,0.4910714285714286
57,MIMIC IV Neutropenic Fever,grud,4,0.7678285963418938,0.3279070317379012,0.3877551020408163,0.1641791044776119,0.4489795918367347,0.6675213320323042,0.2119748539376315,0.2404371584699453,0.3333333333333333
58,Physionet Multiperturbed,grud,4,0.6905756731662024,0.0655564441320174,0.125,0.125,0.0833333333333333,0.5319173630454967,0.0777493094647995,0.1,0.0892857142857142
59,Physionet Original,grud,4,0.8571821833243949,0.5480210619772452,0.5190615835777126,0.575091575091575,0.4604105571847507,0.7019951618608579,0.44422308931029,0.5114006514657979,0.4795357361026267
