dataset,target,model,perturbation,file,pct,seed,fold,start_time,end_time,test_accuracy@0.5,test_auprc,test_auroc,test_balanced_accuracy@0.5,test_f1@0.5,test_f2@0.5,test_minrp,test_precision@0.5,test_recall@0.5
physionet_2012,unbalanced,grud,unbalanced,physionet_2012_fold_0_unbalanced_1,1,2023,0,2026-03-28 12:33:06,2026-03-28 13:28:33,0.9904904904904904,0.0449805359675702,0.7334711842770139,0.5,0.0,0.0,0.0408163265306122,0.0,0.0
physionet_2012,unbalanced,strats,unbalanced,physionet_2012_fold_2_unbalanced_40,40,2023,2,2026-03-28 15:04:47,2026-03-28 15:15:10,0.6514014014014013,0.6037430844804894,0.7443252562796256,0.6729105883964893,0.6074950690335306,0.6854889991097546,0.5819444444444445,0.5106584557081951,0.7496522948539638
physionet_2012,unbalanced,strats,unbalanced,physionet_2012_fold_2_unbalanced_50,50,2023,2,2026-03-28 15:05:12,2026-03-28 15:13:08,0.6509009009009009,0.6714893262332784,0.7369695603282652,0.6639127994083242,0.6629620681323991,0.7266949152542372,0.6371331828442438,0.5784148397976391,0.77645727221279
physionet_2012,unbalanced,strats,unbalanced,physionet_2012_fold_2_unbalanced_8,8,2023,2,2026-03-28 15:03:33,2026-03-28 15:11:15,0.7204704704704705,0.1887733014613856,0.7718916375273864,0.6966420141396383,0.2396187882913546,0.3897254207263064,0.2424242424242424,0.1459369817578772,0.6692015209125475
physionet_2012,unbalanced,strats,unbalanced,physionet_2012_fold_2_unbalanced_1,1,2023,2,2026-03-28 15:00:37,2026-03-28 15:04:25,0.9922422422422422,0.0352881007235918,0.825163731033641,0.5,0.0,0.0,0.064516129032258,0.0,0.0
physionet_2012,unbalanced,strats,unbalanced,physionet_2012_fold_2_unbalanced_2,2,2023,2,2026-03-28 15:00:48,2026-03-28 15:04:48,0.9842342342342344,0.0450113525776667,0.743509336949459,0.5,0.0,0.0,0.0793650793650793,0.0,0.0
physionet_2012,unbalanced,strats,unbalanced,physionet_2012_fold_2_unbalanced_3,3,2023,2,2026-03-28 15:01:13,2026-03-28 15:11:45,0.9754754754754756,0.05997537165066,0.7400472246363914,0.5,0.0,0.0,0.0891089108910891,0.0,0.0
physionet_2012,unbalanced,strats,unbalanced,physionet_2012_fold_2_unbalanced_10,10,2023,2,2026-03-28 15:03:57,2026-03-28 15:08:27,0.779029029029029,0.2142498776296938,0.7408064159016067,0.6452917622991717,0.2780049059689288,0.3729706011408512,0.2556818181818182,0.1951779563719862,0.4829545454545454
physionet_2012,unbalanced,strats,unbalanced,physionet_2012_fold_2_unbalanced_30,30,2023,2,2026-03-28 15:04:44,2026-03-28 15:12:35,0.6556556556556556,0.504021811517309,0.747070282672027,0.6815167623010511,0.5313351498637602,0.6379846229347292,0.5177570093457944,0.4155567394778902,0.7365439093484419
physionet_2012,unbalanced,strats,unbalanced,physionet_2012_fold_2_unbalanced_7,7,2023,2,2026-03-28 15:03:22,2026-03-28 15:12:14,0.8388388388388388,0.1764909228326013,0.774429102496017,0.6654783070493431,0.2511627906976744,0.3483870967741935,0.2130434782608695,0.1714285714285714,0.4695652173913043
physionet_2012,unbalanced,strats,unbalanced,physionet_2012_fold_2_unbalanced_6,6,2023,2,2026-03-28 15:02:47,2026-03-28 15:11:55,0.9211711711711712,0.1597267007446118,0.776026308728526,0.5806750555551733,0.1984732824427481,0.201863354037267,0.203125,0.193069306930693,0.2041884816753926
physionet_2012,unbalanced,strats,unbalanced,physionet_2012_fold_2_unbalanced_20,20,2023,2,2026-03-28 15:04:34,2026-03-28 15:11:49,0.6796796796796797,0.3782298748560028,0.7495985525942537,0.6839346742492807,0.4385964912280701,0.5615453728661276,0.425414364640884,0.3213367609254499,0.6906077348066298
physionet_2012,unbalanced,strats,unbalanced,physionet_2012_fold_2_unbalanced_4,4,2023,2,2026-03-28 15:01:39,2026-03-28 15:09:28,0.9652152152152152,0.0890859119473649,0.7656397044984001,0.5027526821005082,0.0141843971631205,0.0093109869646182,0.1363636363636363,0.1111111111111111,0.0075757575757575
physionet_2012,unbalanced,strats,unbalanced,physionet_2012_fold_2_unbalanced_9,9,2023,2,2026-03-28 15:03:46,2026-03-28 15:12:04,0.7895395395395396,0.2245971411219827,0.7766973505133288,0.6735332406284209,0.2718614718614718,0.3865091088133924,0.273972602739726,0.1819235225955967,0.5376712328767124
